ablation,video_file,video_timestamp_sec,prediction,ground_truth,combined_score,image_score,sensor_boost,correct
ablation1b,flood_video_20251005_145739.mp4,5.5,0,2,,,,False
ablation1b,flood_video_20251005_145739.mp4,9.0,0,2,,,,False
ablation1b,flood_video_20251005_145739.mp4,24.0,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,27.5,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,28.5,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,25.0,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,10.0,0,2,,,,False
ablation1b,flood_video_20251005_145739.mp4,6.0,0,2,,,,False
ablation1b,flood_video_20251005_145739.mp4,14.5,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,18.0,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,19.5,0,0,,,,True
ablation1b,flood_video_20251005_145739.mp4,15.5,0,1,,,,False
ablation1b,flood_video_20251005_145939.mp4,4.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,22.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,19.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,20.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,23.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,0.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,5.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,9.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,28.0,2,0,,,,False
ablation1b,flood_video_20251005_145939.mp4,13.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,14.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,29.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,10.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,29.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,11.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,14.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,26.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,7.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,8.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,27.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,15.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,12.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,16.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,24.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,6.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,21.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,2.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,3.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,21.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,7.0,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,25.5,0,0,,,,True
ablation1b,flood_video_20251005_145939.mp4,17.5,0,0,,,,True
ablation2,flood_video_20251005_145739.mp4,13.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,2.5,2,2,0.6149011186683597,0.6149011186683597,0.0,True
ablation2,flood_video_20251005_145739.mp4,16.0,0,0,0.029506047977672034,0.029506047977672034,0.0,True
ablation2,flood_video_20251005_145739.mp4,20.0,0,0,0.015424567421904088,0.015424567421904088,0.0,True
ablation2,flood_video_20251005_145739.mp4,26.0,0,0,0.006654439565224751,0.006654439565224751,0.0,True
ablation2,flood_video_20251005_145739.mp4,13.0,0,0,0.0022727898924401117,0.0022727898924401117,0.0,True
ablation2,flood_video_20251005_145739.mp4,29.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,7.0,2,2,0.8288375233419255,0.8288375233419255,0.0,True
ablation2,flood_video_20251005_145739.mp4,22.0,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,12.0,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,4.5,0,2,0.16235093773291756,0.16235093773291756,0.0,False
ablation2,flood_video_20251005_145739.mp4,24.0,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,11.0,1,1,0.4261721075942839,0.4261721075942839,0.0,True
ablation2,flood_video_20251005_145739.mp4,9.0,2,2,0.7392492338058395,0.7392492338058395,0.0,True
ablation2,flood_video_20251005_145739.mp4,0.5,0,2,0.2931919054580275,0.2931919054580275,0.0,False
ablation2,flood_video_20251005_145739.mp4,28.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,18.0,0,0,0.0567967658961767,0.0567967658961767,0.0,True
ablation2,flood_video_20251005_145739.mp4,3.5,1,2,0.516910001695868,0.516910001695868,0.0,False
ablation2,flood_video_20251005_145739.mp4,9.0,2,2,0.781297362595482,0.781297362595482,0.0,True
ablation2,flood_video_20251005_145739.mp4,26.0,0,0,0.006654439565224751,0.006654439565224751,0.0,True
ablation2,flood_video_20251005_145739.mp4,9.5,2,2,1.0162151090559464,1.0162151090559464,0.0,True
ablation2,flood_video_20251005_145739.mp4,29.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,16.0,0,0,0.029506047977672034,0.029506047977672034,0.0,True
ablation2,flood_video_20251005_145739.mp4,13.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,18.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,12.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,10.0,0,2,0.1305671648436213,0.1305671648436213,0.0,False
ablation2,flood_video_20251005_145739.mp4,0.5,0,2,0.2931919054580275,0.2931919054580275,0.0,False
ablation2,flood_video_20251005_145739.mp4,23.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,5.5,2,2,1.2085864192128266,1.2085864192128266,0.0,True
ablation2,flood_video_20251005_145739.mp4,28.0,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_145739.mp4,21.0,0,0,0.0012688768106959912,0.0012688768106959912,0.0,True
ablation2,flood_video_20251005_145739.mp4,8.0,2,2,0.910422176561795,0.910422176561795,0.0,True
ablation2,flood_video_20251005_145739.mp4,12.0,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_150257.mp4,25.5,2,0,0.6004064555200184,0.6004064555200184,0.0,False
ablation2,flood_video_20251005_150257.mp4,14.5,2,2,1.8530477080780696,1.8530477080780696,0.0,True
ablation2,flood_video_20251005_150257.mp4,6.0,0,2,0.11341341575057656,0.11341341575057656,0.0,False
ablation2,flood_video_20251005_150257.mp4,15.5,0,2,0.0,0.0,0.0,False
ablation2,flood_video_20251005_150257.mp4,10.0,1,2,0.5496159325856023,0.5496159325856023,0.0,False
ablation2,flood_video_20251005_150257.mp4,16.0,0,2,0.25732208308541876,0.25732208308541876,0.0,False
ablation2,flood_video_20251005_150257.mp4,23.0,0,1,0.004262487394672962,0.004262487394672962,0.0,False
ablation2,flood_video_20251005_150257.mp4,19.0,2,2,1.122498399501549,1.122498399501549,0.0,True
ablation2,flood_video_20251005_150257.mp4,21.0,1,1,0.3869539545071792,0.3869539545071792,0.0,True
ablation2,flood_video_20251005_150257.mp4,4.0,0,1,0.2791375240480358,0.2791375240480358,0.0,False
ablation2,flood_video_20251005_150257.mp4,0.5,0,1,0.020526264080169204,0.020526264080169204,0.0,False
ablation2,flood_video_20251005_150257.mp4,17.0,2,2,1.423010631003745,1.423010631003745,0.0,True
ablation2,flood_video_20251005_150257.mp4,22.5,0,1,0.0,0.0,0.0,False
ablation2,flood_video_20251005_150257.mp4,22.0,0,1,0.0,0.0,0.0,False
ablation2,flood_video_20251005_150257.mp4,2.5,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_150257.mp4,27.5,0,1,0.006439217172915562,0.006439217172915562,0.0,False
ablation2,flood_video_20251005_150257.mp4,12.0,2,2,1.7147836258731102,1.7147836258731102,0.0,True
ablation2,flood_video_20251005_150257.mp4,13.0,2,2,2.050609706404291,2.050609706404291,0.0,True
ablation2,flood_video_20251005_150257.mp4,8.0,1,2,0.31612795619533923,0.31612795619533923,0.0,False
ablation2,flood_video_20251005_150257.mp4,29.5,0,2,0.10672301949571274,0.10672301949571274,0.0,False
ablation2,flood_video_20251005_150218.mp4,29.0,0,0,0.0,0.0,0.0,True
ablation2,flood_video_20251005_150218.mp4,25.5,2,2,1.0165903116979547,1.0165903116979547,0.0,True
ablation2,flood_video_20251005_150218.mp4,10.0,2,2,3.099732288802458,3.099732288802458,0.0,True
ablation2,flood_video_20251005_150218.mp4,11.0,2,2,3.110796312210159,3.110796312210159,0.0,True
ablation2,flood_video_20251005_150218.mp4,26.5,0,1,0.0,0.0,0.0,False
